iter	RMSE
0	0.3745924563
1	0.3511309139
2	0.3299607801
3	0.3119348074
4	0.2944557907
5	0.2777870525
6	0.2645578244
7	0.2517775114
8	0.2393167142
9	0.2277194209
10	0.2171276353
11	0.2078051507
12	0.1998436222
13	0.1921137087
14	0.1858359797
15	0.1793340624
16	0.17258636
17	0.1675743957
18	0.1622564965
19	0.157886499
20	0.1533726357
21	0.1493135448
22	0.1454139204
23	0.1416548839
24	0.1382383338
25	0.1353995712
26	0.1327803987
27	0.1296077573
28	0.127093976
29	0.1245424586
30	0.1221728875
31	0.1198183703
32	0.1176685277
33	0.1157749651
34	0.1135650412
35	0.1116008435
36	0.1099380544
37	0.108517673
38	0.1071855447
39	0.1056871217
40	0.1044617668
41	0.1031711003
42	0.1016220005
43	0.10026641
44	0.09903207161
45	0.09783977543
46	0.09661808401
47	0.09553784332
48	0.09445079154
49	0.09329075048
50	0.09244744148
51	0.091071788
52	0.09061219179
53	0.08964325452
54	0.08873405938
55	0.08786615462
56	0.08686007683
57	0.08604340152
58	0.08527602253
59	0.0846628385
60	0.08389725302
61	0.08306130122
62	0.08260634761
63	0.08199463913
64	0.08143101737
65	0.08071938029
66	0.07981729256
67	0.07921490266
68	0.07873669953
69	0.07833039679
70	0.07772790588
71	0.07708646255
72	0.0766222547
73	0.07601283123
74	0.07542874688
75	0.07485088282
76	0.07409759001
77	0.07365205525
78	0.07318014473
79	0.07241092484
80	0.07127682099
81	0.07065126134
82	0.06999849085
83	0.06928182994
84	0.06837601988
85	0.06751051225
86	0.06686622367
87	0.06591167589
88	0.06542596955
89	0.06483714353
90	0.06412270835
91	0.06347709168
92	0.06275525162
93	0.06218648983
94	0.061656913
95	0.06114747551
96	0.06061986593
97	0.06017362841
98	0.05956111206
99	0.05911613567
